iter	MultiClass
0	1.527294596
1	1.276647621
2	1.082533809
3	0.9336505303
4	0.812977002
5	0.7190126022
6	0.6373680812
7	0.5679597914
8	0.5099787837
9	0.4652537925
10	0.4192561671
11	0.3801136466
12	0.3461023173
13	0.3178948718
14	0.2892388641
15	0.2648344996
16	0.2416684273
17	0.2208900909
18	0.2032090014
19	0.1871387393
20	0.1714929598
21	0.1575908471
22	0.1448997775
23	0.1336566934
24	0.1228787552
25	0.1132212557
26	0.1047705
27	0.09634643699
28	0.08866277522
29	0.08191366826
30	0.07548740392
31	0.06961128761
32	0.06423452002
33	0.05971919955
34	0.05517942703
35	0.05101801324
36	0.04741830092
37	0.04417468382
38	0.04120642846
39	0.03820114936
40	0.03543985028
41	0.03302896453
42	0.03089080047
43	0.02887109737
44	0.0271833589
45	0.02546072972
46	0.02415264932
47	0.02251494059
48	0.02124664765
49	0.02067422136
50	0.01953528438
51	0.01825892004
52	0.01708171805
53	0.01654745075
54	0.0157116331
55	0.01491228702
56	0.01428006346
57	0.01340765999
58	0.01304956826
59	0.01271871259
60	0.01226851527
61	0.01185396791
62	0.01123655526
63	0.01059103187
64	0.00999317179
65	0.009769191331
66	0.00923109219
67	0.009110622453
68	0.008935636479
69	0.008644094081
70	0.008405313807
71	0.008203452199
72	0.008025901754
73	0.007789724462
74	0.007558333388
75	0.007431940811
76	0.007329666104
77	0.007180540283
78	0.007011363585
79	0.006825994917
80	0.006742198755
81	0.00658073547
82	0.006450418167
83	0.006367257507
84	0.006063190048
85	0.005982445
86	0.005898023607
87	0.005675846728
88	0.005590455767
89	0.005423031783
90	0.005358020255
91	0.005278501348
92	0.005192409871
93	0.005118550053
94	0.005053385401
95	0.004969819875
96	0.004916428244
97	0.004704538758
98	0.004588343317
99	0.004565100376
100	0.004504111436
101	0.00431763594
102	0.004211744012
103	0.004043341836
104	0.003991579783
105	0.003919922503
106	0.00383302012
107	0.003778686407
108	0.003682176012
109	0.003544631654
110	0.003415147956
111	0.003293139835
112	0.003229709293
113	0.003200049031
114	0.003089813009
115	0.003027705739
116	0.002973121911
117	0.002919834135
118	0.002866714024
119	0.002845266236
120	0.002797447282
121	0.002751408981
122	0.002706386076
123	0.002662698614
124	0.0026219771
125	0.002582193792
126	0.002542189867
