iter	Passed	Remaining
407	4827	7005
408	4837	6989
409	4858	6991
410	4865	6972
411	4875	6957
412	4885	6943
413	4893	6926
414	4904	6913
415	4913	6897
416	4925	6885
417	4935	6872
418	4943	6854
419	4953	6840
420	4961	6823
421	4970	6808
422	4978	6790
423	4990	6779
424	4999	6764
425	5014	6756
426	5025	6744
427	5037	6732
428	5048	6719
429	5059	6706
430	5070	6693
431	5079	6678
432	5091	6666
433	5100	6651
434	5108	6635
435	5120	6624
436	5139	6620
437	5150	6608
438	5160	6595
439	5172	6583
440	5184	6571
441	5194	6557
442	5202	6541
443	5213	6529
444	5228	6520
445	5238	6506
446	5251	6496
447	5260	6481
448	5271	6468
449	5283	6457
450	5294	6445
451	5306	6433
452	5321	6426
453	5335	6416
454	5348	6406
455	5360	6395
456	5369	6379
457	5379	6365
458	5387	6350
459	5399	6338
460	5408	6323
461	5416	6308
462	5427	6294
463	5442	6286
464	5450	6271
465	5459	6255
466	5468	6241
467	5484	6234
468	5495	6222
469	5506	6209
470	5516	6195
471	5527	6182
472	5535	6167
473	5547	6156
474	5561	6147
475	5570	6132
476	5583	6121
477	5594	6109
478	5602	6093
479	5614	6082
480	5624	6068
481	5635	6055
482	5645	6043
483	5655	6029
484	5666	6017
485	5679	6006
486	5689	5993
487	5698	5978
488	5723	5980
489	5732	5966
490	5750	5961
491	5759	5947
492	5769	5932
493	5777	5917
494	5787	5904
495	5797	5890
496	5807	5877
497	5817	5864
498	5831	5854
499	5843	5843
500	5852	5829
501	5860	5814
502	5876	5806
503	5888	5794
504	5899	5782
505	5909	5769
506	5923	5759
507	5932	5745
508	5944	5734
509	5955	5721
510	5963	5706
511	5972	5692
512	5981	5677
513	5989	5662
514	5998	5649
515	6008	5635
516	6021	5625
517	6033	5613
518	6051	5608
519	6059	5593
520	6070	5581
521	6080	5567
522	6089	5553
523	6101	5542
524	6112	5530
525	6120	5515
526	6131	5503
527	6141	5490
528	6152	5478
529	6162	5465
530	6170	5449
531	6178	5435
532	6192	5425
533	6200	5410
534	6210	5397
535	6219	5384
536	6228	5370
537	6238	5357
538	6248	5344
539	6261	5333
540	6271	5320
541	6281	5308
542	6292	5296
543	6303	5283
544	6313	5271
545	6325	5260
546	6336	5247
547	6350	5238
548	6361	5226
549	6376	5217
550	6384	5202
551	6397	5191
552	6408	5180
553	6417	5166
554	6429	5155
555	6438	5141
556	6449	5129
557	6460	5117
558	6469	5103
559	6479	5091
560	6489	5078
561	6504	5069
562	6512	5054
563	6521	5041
564	6533	5029
565	6544	5018
566	6557	5007
567	6571	4998
568	6583	4986
569	6594	4974
570	6605	4963
571	6614	4949
572	6627	4939
573	6639	4927
574	6648	4914
575	6660	4902
576	6669	4889
577	6678	4875
578	6689	4863
579	6698	4850
580	6711	4840
581	6724	4829
582	6736	4818
583	6746	4806
584	6759	4795
585	6772	4784
586	6782	4772
587	6792	4759
588	6802	4746
589	6812	4733
590	6823	4722
591	6835	4711
592	6844	4697
593	6855	4685
594	6866	4673
595	6874	4659
596	6884	4647
597	6893	4633
598	6902	4621
599	6912	4608
600	6921	4595
601	6931	4582
602	6941	4569
603	6952	4558
604	6962	4545
605	6972	4533
606	6986	4523
607	6997	4511
608	7008	4499
609	7019	4487
610	7028	4474
611	7037	4461
612	7048	4449
613	7071	4445
614	7083	4434
615	7089	4419
616	7099	4406
617	7106	4392
618	7119	4382
619	7131	4371
620	7140	4357
621	7152	4346
622	7164	4335
623	7171	4321
624	7181	4309
625	7193	4297
626	7205	4286
627	7214	4273
628	7223	4260
629	7232	4247
630	7242	4235
631	7251	4222
632	7262	4210
633	7271	4197
634	7280	4184
635	7289	4172
636	7297	4158
637	7307	4146
638	7318	4134
639	7329	4122
640	7340	4111
641	7350	4099
642	7364	4088
643	7376	4077
644	7390	4067
645	7398	4054
646	7411	4043
647	7419	4030
648	7427	4016
649	7436	4004
650	7446	3991
651	7456	3979
652	7465	3966
653	7478	3956
654	7488	3944
655	7497	3931
656	7510	3920
657	7520	3908
658	7531	3896
659	7542	3885
660	7552	3873
661	7561	3860
662	7572	3849
663	7581	3836
664	7594	3825
665	7604	3813
666	7612	3800
667	7626	3790
668	7636	3778
669	7648	3767
670	7658	3754
671	7669	3743
672	7678	3730
673	7687	3718
674	7697	3706
675	7708	3694
676	7717	3682
677	7726	3669
678	7737	3658
679	7746	3645
680	7756	3633
681	7764	3620
682	7775	3608
683	7786	3597
684	7796	3585
685	7807	3573
686	7817	3561
687	7834	3553
688	7844	3540
689	7852	3528
690	7861	3515
691	7870	3503
692	7879	3490
693	7889	3478
694	7900	3467
695	7909	3454
696	7919	3442
697	7928	3430
698	7938	3418
699	7948	3406
700	7955	3393
701	7964	3380
702	7971	3367
703	7982	3356
704	7992	3344
705	8001	3331
706	8009	3319
707	8020	3307
708	8030	3295
709	8038	3283
710	8049	3272
711	8060	3260
712	8073	3249
713	8082	3237
714	8090	3225
715	8100	3213
716	8109	3200
717	8117	3188
718	8127	3176
719	8138	3164
720	8149	3153
721	8159	3141
722	8168	3129
723	8179	3118
724	8187	3105
725	8197	3093
726	8207	3082
727	8217	3070
728	8229	3059
729	8237	3046
730	8246	3034
731	8256	3022
732	8264	3010
733	8276	2999
734	8288	2988
735	8300	2977
736	8312	2966
737	8327	2956
738	8339	2945
739	8348	2933
740	8361	2922
741	8374	2912
742	8386	2900
743	8398	2889
744	8412	2879
745	8423	2867
746	8434	2856
747	8443	2844
748	8454	2833
749	8464	2821
750	8472	2809
751	8483	2797
752	8495	2786
753	8505	2775
754	8513	2762
755	8521	2750
756	8529	2738
757	8539	2726
758	8551	2715
759	8560	2703
760	8572	2692
761	8582	2680
762	8590	2668
763	8601	2656
764	8612	2645
765	8622	2634
766	8634	2622
767	8643	2610
768	8652	2599
769	8660	2586
770	8670	2575
771	8678	2563
772	8687	2551
773	8698	2539
774	8707	2527
775	8722	2517
776	8738	2508
777	8751	2497
778	8761	2485
779	8771	2473
780	8781	2462
781	8789	2450
782	8802	2439
783	8812	2427
784	8824	2416
785	8835	2405
786	8845	2394
787	8855	2382
788	8867	2371
789	8877	2359
790	8889	2348
791	8899	2337
792	8908	2325
793	8918	2313
794	8929	2302
795	8940	2291
796	8950	2279
797	8965	2269
798	8974	2257
799	8983	2245
800	8992	2234
801	9002	2222
802	9017	2212
803	9033	2202
804	9046	2191
805	9057	2180
806	9070	2169
807	9081	2158
808	9097	2147
809	9160	2148
810	9176	2138
811	9195	2129
812	9206	2117
813	9216	2105
814	9229	2095
815	9243	2084
816	9255	2073
817	9265	2061
818	9278	2050
819	9291	2039
820	9302	2028
821	9316	2017
822	9327	2006
823	9337	1994
824	9349	1983
825	9363	1972
826	9391	1964
827	9402	1953
828	9419	1942
829	9435	1932
830	9450	1921
831	9461	1910
832	9473	1899
833	9485	1888
834	9495	1876
835	9506	1864
836	9519	1853
837	9527	1841
838	9543	1831
839	9557	1820
840	9569	1809
841	9583	1798
842	9597	1787
843	9607	1775
844	9619	1764
845	9628	1752
846	9639	1741
847	9648	1729
848	9657	1717
849	9669	1706
850	9678	1694
851	9687	1682
852	9696	1671
853	9705	1659
854	9717	1647
855	9726	1636
856	9738	1624
857	9750	1613
858	9760	1602
859	9770	1590
860	9785	1579
861	9796	1568
862	9808	1557
863	9819	1545
864	9830	1534
865	9837	1522
866	9849	1510
867	9861	1499
868	9871	1488
869	9881	1476
870	9893	1465
871	9903	1453
872	9913	1442
873	9922	1430
874	9932	1418
875	9942	1407
876	9955	1396
877	9963	1384
878	9972	1372
879	9982	1361
880	9994	1349
881	10003	1338
882	10015	1327
883	10028	1315
884	10038	1304
885	10050	1293
886	10063	1281
887	10072	1270
888	10082	1258
889	10092	1247
890	10102	1235
891	10113	1224
892	10124	1213
893	10133	1201
894	10145	1190
895	10155	1178
896	10166	1167
897	10177	1156
898	10192	1145
899	10202	1133
900	10211	1121
901	10227	1111
902	10240	1099
903	10247	1088
904	10270	1078
905	10279	1066
906	10295	1055
907	10306	1044
908	10317	1032
909	10327	1021
910	10343	1010
911	10353	999
912	10364	987
913	10373	976
914	10381	964
915	10391	952
916	10407	942
917	10424	931
918	10438	920
919	10448	908
920	10459	897
921	10471	885
922	10483	874
923	10495	863
924	10504	851
925	10512	840
926	10524	828
927	10535	817
928	10543	805
929	10557	794
930	10568	783
931	10579	771
932	10589	760
933	10600	749
934	10610	737
935	10619	726
936	10628	714
937	10637	703
938	10648	691
939	10658	680
940	10667	668
941	10676	657
942	10689	646
943	10698	634
944	10707	623
945	10717	611
946	10725	600
947	10735	588
948	10743	577
949	10756	566
950	10769	554
951	10778	543
952	10786	531
953	10796	520
954	10805	509
955	10815	497
956	10823	486
957	10832	474
958	10841	463
959	10852	452
960	10863	440
961	10872	429
962	10882	418
963	10894	406
964	10903	395
965	10914	384
966	10924	372
967	10932	361
968	10941	350
969	10949	338
970	10960	327
971	10967	315
972	10978	304
973	10986	293
974	10994	281
975	11003	270
976	11011	259
